"date" "mean" "modal" "median" "75q" "25q" "std"
"1" "2015-06-10" "2.61769828021774" "3.6372220465" "3.6372220465" "4.474444212" "0.366111103833333" "1.79355996151901"
"2" "2015-06-11" "7.17852740367061" "7.26222229366667" "7.26222229366667" "9.09111081916667" "2.20499991016667" "4.48138059018605"
"3" "2015-06-12" "100.883361304912" "89.2266650281667" "91.2627763446667" "109.522775156167" "89.2266650281667" "14.8696447287632"
"4" "2015-06-13" "4.18149594476972" "0.510555540833333" "0.510555540833333" "3.11888917466667" "0.510555540833333" "5.81676427272834"
"5" "2015-06-14" "28.1363898699753" "12.9577773443333" "24.0688886938333" "43.9288878743333" "12.9577773443333" "13.1790289917112"
"6" "2015-06-15" "27.9005906801828" "33.5049991756667" "26.8749994991667" "33.5049991756667" "21.2594437608333" "6.85295332498767"
"7" "2015-06-16" "6.204364483622" "9.67333289" "6.20277771766667" "9.67333289" "1.5127777715" "3.91600600359253"
"8" "2015-06-17" "38.2085483434278" "26.5949991988333" "26.5949991988333" "40.1605552121667" "26.5949991988333" "21.8620026663225"
"9" "2015-06-18" "73.6940131223331" "48.8349984013333" "70.9961109101667" "73.867221637" "48.8349984013333" "24.1552124711221"
"10" "2015-06-19" "54.6265911522372" "38.881110523" "38.881110523" "94.5477757103333" "34.6249988436667" "29.5138240603663"
"11" "2015-06-20" "13.1514637569496" "17.2822213981667" "17.2822213981667" "17.2822213981667" "6.27944423816667" "8.06338673769405"
"12" "2015-06-21" "33.5617548203902" "16.6172221208333" "26.0905544628333" "50.877220157" "16.6172221208333" "18.9789391169011"
"13" "2015-06-22" "2.69403326427018" "1.1444443875" "1.46277778133333" "4.910555514" "1.1444443875" "1.95450383426774"
"14" "2015-06-23" "105.996596175237" "58.2577770538333" "94.8605536213333" "158.689441205" "58.2577770538333" "47.1749250011362"
"15" "2015-06-24" "5.42618507185961" "11.5544442456667" "8.28944443316667" "11.5544442456667" "0.0366666656666667" "5.11969891496633"
"16" "2015-06-25" "4.0823998384119" "1.20555551033333" "3.3316665755" "7.08166670983333" "1.20555551033333" "2.65877474748482"
"17" "2015-06-26" "14.1234067987772" "12.6722219953333" "12.6722219953333" "14.2927775161667" "10.3227775591667" "4.47528126998685"
"18" "2015-06-27" "8.90650176334129" "6.447777673" "6.998888792" "9.12888884316667" "6.447777673" "3.23557806996711"
"19" "2015-06-28" "10.1700917828647" "18.7888887805" "9.46833339183333" "18.7888887805" "3.4588890495" "6.16446111065128"
"20" "2015-06-29" "11.2906514899748" "9.29000002733333" "9.29000002733333" "11.3483333548333" "4.50277766666667" "6.67305208112073"
"21" "2015-06-30" "24.9169230345486" "17.5649997328333" "25.0083324035" "28.2138882263333" "17.5649997328333" "5.3515483078095"
"22" "2015-07-01" "25.3626529718558" "21.1099995845" "26.0138878258333" "26.7455547453333" "21.1099995845" "3.72193161324407"
"23" "2015-07-02" "36.7262183812656" "23.9522214311667" "37.4122218713333" "38.6727767461667" "23.9522214311667" "11.3199387638185"
"24" "2015-07-03" "61.5814481448419" "36.5705544385" "61.6366646626667" "62.0411093831667" "36.5705544385" "23.1672568350279"
"25" "2015-07-04" "1.57682970449255" "0.804999972333333" "1.1483333885" "1.56333326333333" "0.804999972333333" "1.07051955492183"
"26" "2015-07-05" "13.4097023813016" "6.43888903383333" "6.43888903383333" "23.9561103068333" "2.89722225466667" "14.2605537109332"
"27" "2015-07-06" "12.47531253335" "6.25000004266667" "6.25000004266667" "24.311110586" "6.25000004266667" "9.0680194761897"
"28" "2015-07-07" "53.4382284717407" "47.8333325051667" "50.4105550183333" "56.9777760478333" "47.8333325051667" "5.88242228248753"
"29" "2015-07-08" "46.8312416792629" "29.1477769971667" "29.1477769971667" "81.8827768221667" "29.1477769971667" "23.5753105644687"
"30" "2015-07-09" "23.5319054375978" "2.577777743" "7.19499992766667" "47.926110225" "2.577777743" "19.79444361422"
"31" "2015-07-10" "3.85054586571635" "4.28055566383333" "4.28055566383333" "4.28055566383333" "3.862222117" "0.65348311290823"
"32" "2015-07-11" "5.47325758195519" "12.0266664991667" "4.06666660083333" "12.0266664991667" "0.820555515833333" "4.55151126854477"
"33" "2015-07-12" "1.17420935003937" "0.0416666666666667" "0.0416666666666667" "3.77944425483333" "0.0366666685" "1.7245635962716"
"34" "2015-07-13" "5.00107656684136" "15.9033327625" "0.3616666705" "15.9033327625" "0.0205555573333333" "7.26290471814874"
"35" "2015-07-14" "5.57293280404906" "0.724444438" "0.978888876333333" "16.1844442643333" "0.724444438" "7.02613816500824"
"36" "2015-07-15" "13.6455185786545" "10.9427774746667" "13.6505553281667" "15.5022220038333" "10.9427774746667" "2.51928820663564"
"37" "2015-07-16" "8.81083134962704" "0.962222208333333" "3.42000000316667" "12.3916662311667" "0.962222208333333" "9.65707452958741"
"38" "2015-07-17" "25.0291969365161" "19.434443746" "19.434443746" "30.6411104706667" "17.6299998031667" "11.740742397681"
"39" "2015-07-18" "26.1812962391745" "14.8138885596667" "14.8138885596667" "26.8294441715" "13.9794440405" "17.3155137312663"
"40" "2015-07-19" "10.3801320723005" "12.0438885775" "12.0438885775" "12.9927773221667" "7.20111109133333" "4.08101465842446"
"41" "2015-07-20" "27.8564700028006" "19.3205549653333" "23.2133322793333" "37.5555539273333" "19.3205549653333" "10.0396277378194"
"42" "2015-07-21" "1.760644492006" "2.5422220195" "0.891111117166667" "2.5422220195" "0.118888889333333" "1.87958181597866"
"43" "2015-07-22" "22.8914032235257" "22.4499993665" "22.4499993665" "23.0938882923333" "19.8488887723333" "7.51094792524899"
